knowledge_id,incident_id,problem_type,problem_description,location,root_cause,root_cause_confidence,solution_attempted,successful_solution,failed_solution,outcome,resolution_time_hours,success_rate,lesson_learned,recommended_future_action,created_from_incident,last_updated
KNB-00001,INC-001,Network Instability,Intermittent internet drops across Block A,Block A,Edge router hardware degradation,0.92,Reboot router; Replace router hardware,Replaced edge router with enterprise model,Soft rebooting software,Issue resolved,6.5,100%,Soft reboots do not fix physical gateway packet drops,Schedule semi-annual router hardware diagnostics,INC-001,2026-01-16
KNB-00002,INC-002,DNS Resolution Failure,Internal portal unreachable on campus network,Main Campus,DNS cache corruption on primary node,0.88,Flush DNS; Replace route gateway,Replaced corrupt DNS gateway route,Flushing cache only,Issue resolved,5.0,100%,Corrupted routing tables require full node synchronization,Implement automated DNS table checksum verification,INC-002,2026-01-19
KNB-00003,INC-003,Plumbing Backup,Sewage and water backing up in basement,Basement Level,Collapsed PVC main drainage line,0.95,Clear blockage; Pipe replacement,Replaced collapsed section of PVC line,Chemical and snake clearing,Issue resolved,11.5,100%,Persistent drain backups often indicate structural pipe collapse,Conduct annual camera pipe inspections,INC-003,2026-01-21
KNB-00004,INC-004,HVAC Failure,Room temperature remaining above 82F,North Hall,Blown HVAC compressor capacitor,0.90,Adjust thermostat; Replace capacitor,Replaced blown compressor capacitor,Adjusting schedule settings,Issue resolved,5.2,100%,Thermostat overrides are ineffective for electrical component failures,Keep spare HVAC capacitors stocked locally,INC-004,2026-01-23
KNB-00005,INC-005,Wi-Fi Congestion,High latency and packet loss during peak hours,Block A Hostel,Access point client capacity overload,0.94,Soft AP reboot; Deploy high-density APs,Deployed dual high-density AP nodes,Soft AP reboots,Issue resolved,5.8,100%,Hostels require density-based AP capacity planning,Deploy Wi-Fi APs based on user density,INC-005,2026-01-27
KNB-00006,INC-006,Waste Management,Overflowing dumpsters and litter accumulation,West Quad,Insufficient dumpsters and low collection frequency,0.89,Reallocate janitors; Increase bin capacity,Installed commercial dumpsters & doubled pickup,Reallocating staff alone,Issue resolved,5.0,100%,Staffing increases cannot offset lack of waste container volume,Audit bin capacity before peak events,INC-006,2026-01-30
KNB-00007,INC-007,Elevator Malfunction,Elevator doors sticking on Floor 3,Science Complex,Faulty optical door sensor assembly,0.91,Calibrate sensor; Sensor replacement,Replaced optical sensor assembly,Adjusting sensor sensitivity,Issue resolved,7.0,100%,Optical sensors degrade in high-dust environments,Clean and inspect door optical sensors quarterly,INC-007,2026-02-02
KNB-00008,INC-008,Roof Leak,Water dripping from ceiling in Lab 2,Science Complex,Breached roofing membrane over junction,0.93,Apply patch sealant; Elastomeric membrane,Installed elastomeric membrane,Temporary sealant patch,Issue resolved,14.0,100%,Silicone patch repairs fail under heavy hydro-pressure,Require full membrane patching for roof leaks,INC-008,2026-02-06
KNB-00009,INC-009,Access Control Failure,RFID turnstiles failing to recognize badging,East Gate,Corrupted RFID access control database index,0.87,Reset access DB index,Re-indexed RFID database tables,None,Issue resolved,1.5,100%,Database indexes require scheduled auto-maintenance,Implement nightly index re-indexing job,INC-009,2026-02-09
KNB-00010,INC-010,Low Water Pressure,Inadequate pressure on upper floors,Block B,Worn booster pump impellers,0.92,Rebalance pressure; Replace impellers,Replaced secondary booster pump impellers,Rebalancing valve pressure,Issue resolved,9.5,100%,Pump impeller wear reduces hydraulic head height,Monitor booster pump vibration metrics,INC-010,2026-02-11
KNB-00011,INC-011,Authentication Outage,Users unable to log into internal system,Campus Wide,Expired SSL security cert on SSO server,0.98,Renew SSL cert,Updated SSO authentication certs,None,Issue resolved,2.0,100%,Cert expirations should be monitored 30 days prior,Automate SSL certificate renewal alerts,INC-011,2026-02-13
KNB-00012,INC-012,Radiator Leak,Steam leaking into office corridor,Administration,Worn radiator control valve,0.89,Tighten valve; Replace valve,Replaced radiator valve and bleeder plug,Tightening corroded valve,Issue resolved,5.5,100%,Corroded steam valves require immediate replacement,Replace valve seals during summer maintenance,INC-012,2026-02-16
KNB-00013,INC-013,Lighting Outage,Dark walkways near Library,South Campus,Failed photocell relay control box,0.90,Adjust lighting timer; Replace photocell,Replaced photocell relay control box,Manual timer override,Issue resolved,4.0,100%,Photocell sensors fail due to weather exposure,Transition to smart astronomical clock controllers,INC-013,2026-02-20
KNB-00014,INC-014,Door Hardware Failure,Emergency exit door failing to latch,West Wing,Damaged latch spring mechanism,0.86,Repair door latch,Replaced exit latch spring assembly,None,Issue resolved,2.5,100%,Heavy foot traffic causes spring fatigue,Inspect fire exit latches monthly,INC-014,2026-02-22
KNB-00015,INC-015,Database Latency,Application timeout errors during midday,Cloud Systems,Exhausted database connection pool,0.95,Patch pool max limits; Optimize queries,Increased connection pool & query tuning,Simple connection reset,Issue resolved,10.5,100%,Pool limits must dynamically scale with web traffic,Set up auto-scaling connection pooling,INC-015,2026-02-25
KNB-00016,INC-016,Indoor Air Quality,Musty odor in classroom building,South Hall,Mold growth in duct liner,0.92,Clean vents; Replace liner & UV install,Replaced duct liner & installed UV purifier,Surface vent cleaning,Issue resolved,12.0,100%,Surface cleaning does not eliminate internal duct mold,Install UV light systems in air handlers,INC-016,2026-03-01
KNB-00017,INC-017,Refrigeration Failure,Freezer temp rising above food safety code,Dining Hall,Failed coolant valve,0.91,Recalibrate sensor; Replace coolant valve,Replaced coolant line valve & recharged refrigerant,Recalibrating sensors,Issue resolved,7.5,100%,Rising temperatures indicate refrigerant pressure loss,Install real-time IoT temperature sensors,INC-017,2026-03-03
KNB-00018,INC-018,Terminal Hardware Failure,Unresponsive keys on kiosk terminal,Student Center,Debris underneath physical membrane,0.88,Clean & repair terminal keys,Cleaned contact points and key matrix,None,Issue resolved,1.0,100%,Kiosks require regular dust blowout maintenance,Enclose kiosk keyboards with protective film,INC-018,2026-03-06
KNB-00019,INC-019,Storm Flooding,Water pooling in parking lot,Lot B,Clogged and undersized drainage culvert,0.94,Patch drain grate; Expand culvert,Excavated debris and installed enlarged culvert,Surface grate clearing,Issue resolved,16.0,100%,Culverts need sizing upgrade for heavy rain events,Upgrade all parking lot drainage culverts,INC-019,2026-03-11
KNB-00020,INC-020,Noise Disturbance,Late night noise near dormitories,North Dorms,Unmonitored late night foot traffic,0.85,Reallocate security patrol,Reallocated night patrol security shifts,None,Issue resolved,1.5,100%,Visible security presence deter noise violations,Maintain fixed nightly patrol schedules,INC-020,2026-03-13
KNB-00021,INC-021,Corridor Dark Spot,Burnt out overhead light,Main Corridor,Expired LED fixture driver,0.89,Replace light bulb,Replaced LED light fixture driver,None,Issue resolved,0.5,100%,LED fixture drivers fail before the LED diodes,Stock spare LED drivers in maintenance shop,INC-021,2026-03-16
KNB-00022,INC-022,Network Packet Loss,Dropped connections in Floor 2 lab,Engineering Bldg,Damaged Ethernet backhaul cable,0.93,Reset floor router; Replace cable,Replaced damaged backhaul Ethernet cable,Router soft restart,Issue resolved,6.5,100%,Physical cable degradation causes hidden packet drop,Perform TDR cable testing on slow links,INC-022,2026-03-19
KNB-00023,INC-023,Ventilation Noise,Loud screeching sound in HVAC system,Library,Worn HVAC fan belt and motor bearing,0.90,Grease bearings; Replace belt & motor,Replaced worn fan belt and motor,Greasing worn bearings,Issue resolved,5.5,100%,Screeching sounds indicate imminent belt snapping,Replace fan belts at first sign of wear,INC-023,2026-03-22
KNB-00024,INC-024,Lab Lockout,Card reader denying access to authorized personnel,Research Lab,Corrupted door reader firmware,0.87,Reprogram card reader,Flashed and updated door controller firmware,None,Issue resolved,1.5,100%,Firmware corruptions block lock relay signals,Schedule quarterly controller firmware updates,INC-024,2026-03-25
KNB-00025,INC-025,Sink Overflow,Kitchen sink draining extremely slowly,Cafeteria,Solidified grease obstruction in pipe,0.92,Chemical pouring; Snake line,Snaked grease trap line and removed blockage,Chemical drain openers,Issue resolved,4.5,100%,Chemicals fail to clear heavy commercial grease traps,Enforce monthly commercial grease trap cleaning,INC-025,2026-03-28
KNB-00026,INC-026,Print Queue Crash,Central printer failing to print jobs,Admin Office,Faulty network interface card on printer,0.88,Reinstall drivers; Replace network card,Replaced network card inside printer,Reinstalling workstation drivers,Issue resolved,5.5,100%,Spooler crashes are frequently NIC hardware errors,Swap printer NIC when spooler repeatedly crashes,INC-026,2026-03-31
KNB-00027,INC-027,Door Slamming,Heavy main door slamming aggressively,Library Entrance,Blown hydraulic seal on door closer,0.91,Adjust closer screw; Replace cylinder,Replaced hydraulic cylinder in door closer,Tension screw adjustments,Issue resolved,2.5,100%,Fluid leaks in door closers indicate seal failure,Replace door closers when fluid leakage appears,INC-027,2026-04-03
KNB-00028,INC-028,High Humidity,Excess condensation inside office suite,East Wing,Clogged condensate line on dehumidifier,0.93,Increase fan speed; Service dehumidifier,Serviced dehumidifier and cleared drain line,Increasing AC fan speed,Issue resolved,5.0,100%,Clogged condensate lines disable humidity removal,Flush dehumidifier drip lines quarterly,INC-028,2026-04-07
KNB-00029,INC-029,Bench Power Outage,Outlets on lab bench dead,Physics Lab,Tripped sub-panel circuit breaker,0.86,Replace power strip,Reset sub-panel breaker and replaced strip,None,Issue resolved,1.0,100%,Overloading lab strips trips sub-panel breakers,Label maximum amperage limits on lab benches,INC-029,2026-04-09
KNB-00030,INC-030,Guest Portal Error,Guests unable to authenticate on Wi-Fi,Campus Wide,Expired SSL intermediate cert on portal,0.94,Reset credentials; Rebuild SSL certs,Rebuilt portal SSL certificates and radius,Resetting user credentials,Issue resolved,6.0,100%,Guest captive portals require complete SSL chain,Validate SSL chain on captive portals monthly,INC-030,2026-04-11
KNB-00031,INC-031,Water Fountain Leak,Puddle forming beneath drinking fountain,Student Center,Corroded copper pipe joint,0.89,Tighten fitting; Replace copper joint,Replaced corroded copper elbow joint,Tightening worn fitting,Issue resolved,5.5,100%,Tightening corroded fittings exacerbates leaks,Replace corroded copper fittings immediately,INC-031,2026-04-13
KNB-00032,INC-032,Hallway Lighting Delay,Motion lights shutting off unexpectedly,West Hall,Degraded infrared motion sensor,0.90,Adjust sensor angle; Replace dual sensor,Replaced motion sensor with dual PIR/US unit,Adjusting detection angle,Issue resolved,4.0,100%,PIR sensors fail to detect stationary occupants,Use dual PIR/Ultrasound sensors in long corridors,INC-032,2026-04-16
KNB-00033,INC-033,App Alert Delay,Push notifications taking hours to arrive,Mobile App,Malformed FCM notification payload,0.92,Clear gateway cache; Patch payload format,Patched FCM notification handler payload,Clearing gateway cache,Issue resolved,8.0,100%,Payload schema changes break push notifications,Enforce strict schema validation on push servers,INC-033,2026-04-19
KNB-00034,INC-034,Exterior Lighting Failure,Walkway lights turning off after 20 mins,North Campus,Short circuit in underground wiring,0.95,Replace fuse; Replace underground wire,Replaced shorted subterranean wire section,Replacing blown fuses repeatedly,Issue resolved,10.5,100%,Repeated fuse blows signal subterranean short circuit,Perform megohmmeter testing on underground lines,INC-034,2026-04-22
KNB-00035,INC-035,Pothole Recurrence,Road surface cracking and caving in,Main Drive,Damaged sub-base layer under asphalt,0.91,Pour asphalt patch; Excavate sub-base,Excavated sub-base layer and re-paved asphalt,Surface asphalt cold patching,Issue resolved,10.5,100%,Surface cold patches fail without proper sub-base repair,Re-bed sub-base layer when repairing major potholes,INC-035,2026-04-26
