incident_id,title,category,location,department,severity,status,first_reported_at,last_reported_at,complaint_count,affected_users,pattern_detected,possible_root_cause,root_cause_confidence,assigned_team,resolution_status
INC-001,Canteen: Network connectivity issue,Internet & Network,Canteen,IT Services,High,Resolved,2026-02-16 15:47,2026-08-05 18:39,5,5,Repeated reports from the same location,Possible equipment or infrastructure degradation,0.77,IT Services,Completed
INC-002,ECE Block: Network connectivity issue,Internet & Network,ECE Block,IT Services,Medium,Resolved,2026-03-15 18:10,2026-07-15 10:25,4,4,Increasing reports during a specific time period,Possible equipment or infrastructure degradation,0.9,IT Services,Completed
INC-003,CSE Block: Network connectivity issue,Internet & Network,CSE Block,IT Services,High,Detected,2026-04-27 08:34,2026-07-08 15:48,2,2,Repeated reports from the same location,Possible recurring component failure,0.74,IT Services,Pending
INC-004,Transport Bay: Network connectivity issue,Internet & Network,Transport Bay,IT Services,High,Action Required,2026-04-19 11:09,2026-08-12 12:26,6,6,Increasing reports during a specific time period,Possible equipment or infrastructure degradation,0.86,IT Services,Pending
INC-005,Block A - Hostel: Network connectivity issue,Internet & Network,Block A - Hostel,IT Services,High,Action Required,2026-01-17 13:01,2026-08-07 08:08,8,8,Recurring issue after previous resolution,Possible capacity or demand-related issue,0.78,IT Services,Pending
INC-006,Parking Area: Network connectivity issue,Internet & Network,Parking Area,IT Services,High,Resolved,2026-04-29 08:35,2026-04-29 08:35,1,1,Repeated reports from the same location,Possible capacity or demand-related issue,0.79,IT Services,Completed
INC-007,Block B - Hostel: Electrical service interruption,Electricity,Block B - Hostel,Electrical Maintenance,High,Monitoring,2026-02-16 18:51,2026-07-13 16:00,2,2,Increasing reports during a specific time period,Possible capacity or demand-related issue,0.79,Electrical Maintenance,Completed
INC-008,Computer Lab 1: Electrical service interruption,Electricity,Computer Lab 1,Electrical Maintenance,Medium,Detected,2026-01-20 10:37,2026-08-07 14:13,6,6,Repeated reports from the same location,Possible recurring component failure,0.89,Electrical Maintenance,Pending
INC-009,Block C - Hostel: Network connectivity issue,Internet & Network,Block C - Hostel,IT Services,High,Resolved,2026-01-26 10:48,2026-08-30 19:57,10,10,Multiple users reporting similar symptoms,Possible equipment or infrastructure degradation,0.83,IT Services,Completed
INC-010,Block B - Hostel: Network connectivity issue,Internet & Network,Block B - Hostel,Facilities & Maintenance,Medium,Action Required,2026-03-22 14:49,2026-08-30 16:39,4,4,Recurring issue after previous resolution,Possible equipment or infrastructure degradation,0.89,Facilities & Maintenance,Pending
INC-011,Campus Entrance: Electrical service interruption,Electricity,Campus Entrance,Electrical Maintenance,Medium,Resolved,2026-02-21 15:55,2026-04-26 18:23,3,3,Multiple users reporting similar symptoms,Possible capacity or demand-related issue,0.73,Electrical Maintenance,Completed
INC-012,Main Building: Recurring water supply issue,Water & Sanitation,Main Building,Facilities & Maintenance,High,Monitoring,2026-01-12 10:36,2026-07-05 14:23,6,6,Increasing reports during a specific time period,Possible maintenance or service configuration issue,0.89,Facilities & Maintenance,Completed
INC-013,Block A - Hostel: Network connectivity issue,Internet & Network,Block A - Hostel,IT Services,High,Investigating,2026-02-14 11:56,2026-08-13 21:12,4,4,Repeated reports from the same location,Possible recurring component failure,0.85,IT Services,Pending
INC-014,Campus Entrance: Network connectivity issue,Internet & Network,Campus Entrance,IT Services,High,Investigating,2026-01-16 11:00,2026-08-09 14:25,5,5,Multiple users reporting similar symptoms,Possible capacity or demand-related issue,0.76,IT Services,Pending
INC-015,Block B - Hostel: Network connectivity issue,Internet & Network,Block B - Hostel,IT Services,High,Resolved,2026-01-07 16:38,2026-05-20 15:11,4,4,Multiple users reporting similar symptoms,Possible equipment or infrastructure degradation,0.75,IT Services,Completed
INC-016,Block B - Hostel: Recurring water supply issue,Water & Sanitation,Block B - Hostel,Facilities & Maintenance,High,Action Required,2026-02-07 21:16,2026-08-05 18:56,5,5,Increasing reports during a specific time period,Possible capacity or demand-related issue,0.77,Facilities & Maintenance,Pending
INC-017,Computer Lab 1: Electrical service interruption,Electricity,Computer Lab 1,Electrical Maintenance,High,Monitoring,2026-03-22 08:08,2026-07-24 12:53,5,5,Increasing reports during a specific time period,Possible maintenance or service configuration issue,0.88,Electrical Maintenance,Completed
INC-018,Computer Lab 1: Electrical service interruption,Electricity,Computer Lab 1,Electrical Maintenance,High,Resolved,2026-01-05 16:42,2026-07-25 18:03,8,8,Increasing reports during a specific time period,Possible equipment or infrastructure degradation,0.8,Electrical Maintenance,Completed
