feedback_id,complaint_id,user_id,incident_id,submitted_at,resolution_id,verification_status,problem_resolved,satisfaction_score,feedback_text,remaining_issue,reopen_requested,evidence_provided,follow_up_required
FBK-00001,CMP-00001,USR-001,INC-001,2026-01-15 11:00:00,RES-00001,Not Verified,No,1,"Internet is still dropping every 5 minutes after reboot.",Connection drops continuously,Yes,True,True
FBK-00002,CMP-00001,USR-001,INC-001,2026-01-15 16:30:00,RES-00002,Verified,Yes,5,"Speed is great now! Replacement router fixed it completely.",None,No,False,False
FBK-00003,CMP-00002,USR-002,INC-001,2026-01-15 17:00:00,RES-00002,Verified,Yes,5,"Wi-Fi is super fast again in Block A.",None,No,False,False
FBK-00004,CMP-00003,USR-003,INC-002,2026-01-18 11:30:00,RES-00003,Disputed,No,2,"Portal is still throwing 504 gateway timeout error.",Cannot access registration page,Yes,True,True
FBK-00005,CMP-00003,USR-003,INC-002,2026-01-18 15:00:00,RES-00004,Verified,Yes,5,"Portal loaded immediately. Works perfect.",None,No,False,False
FBK-00006,CMP-00004,USR-004,INC-003,2026-01-20 10:30:00,RES-00005,Not Verified,No,1,"Water is overflowing again in basement bathroom.",Sewage backing up,Yes,True,True
FBK-00007,CMP-00004,USR-004,INC-003,2026-01-20 18:30:00,RES-00006,Verified,Yes,5,"Drain is completely clear now. Tank clean.",None,No,False,False
FBK-00008,CMP-00005,USR-005,INC-004,2026-01-22 12:30:00,RES-00007,Not Verified,No,2,"Room is still extremely hot.",Temperature stuck at 82F,Yes,True,True
FBK-00009,CMP-00005,USR-005,INC-004,2026-01-22 17:00:00,RES-00008,Verified,Yes,4,"AC is blowing cold air now. Comfortable.",None,No,False,False
FBK-00010,CMP-00006,USR-006,INC-005,2026-01-25 21:00:00,RES-00009,Not Verified,No,1,"Video streams keep buffering. Reboot didn't work.",Extreme lag at night,Yes,True,True
FBK-00011,CMP-00006,USR-006,INC-005,2026-01-26 12:00:00,RES-00010,Verified,Yes,5,"Wi-Fi full bars and super quick now!",None,No,False,False
FBK-00012,CMP-00007,USR-007,INC-006,2026-01-28 11:00:00,RES-00011,Not Verified,Partially,3,"Bins still filling up too fast by evening.",Trash overflow by night,No,False,True
FBK-00013,CMP-00007,USR-007,INC-006,2026-01-29 11:30:00,RES-00012,Verified,Yes,5,"Large dumpsters placed. Area is clean.",None,No,False,False
FBK-00014,CMP-00008,USR-008,INC-007,2026-02-01 13:30:00,RES-00013,Disputed,No,1,"Elevator door stuck again while I was inside!",Door sensor glitch,Yes,True,True
FBK-00015,CMP-00008,USR-008,INC-007,2026-02-01 19:00:00,RES-00014,Verified,Yes,4,"Elevator running smoothly now.",None,No,False,False
FBK-00016,CMP-00009,USR-009,INC-008,2026-02-03 16:00:00,RES-00015,Not Verified,No,1,"Rain water leaking through ceiling again.",Dripping on lab desk,Yes,True,True
FBK-00017,CMP-00009,USR-009,INC-008,2026-02-05 14:00:00,RES-00016,Verified,Yes,5,"No leaks after today's heavy rain. Fixed!",None,No,False,False
FBK-00018,CMP-00010,USR-010,INC-009,2026-02-08 11:00:00,RES-00017,Verified,Yes,5,"Card reader scanned my ID instantly.",None,No,False,False
FBK-00019,CMP-00011,USR-011,INC-010,2026-02-10 09:30:00,RES-00018,Not Verified,No,2,"Water pressure on 4th floor is still a trickle.",Low pressure,Yes,True,True
FBK-00020,CMP-00011,USR-011,INC-010,2026-02-10 17:00:00,RES-00019,Verified,Yes,5,"Strong water pressure in restroom now.",None,No,False,False
FBK-00021,CMP-00012,USR-012,INC-011,2026-02-12 12:00:00,RES-00020,Verified,Yes,5,"Logged into student account with no issues.",None,No,False,False
FBK-00022,CMP-00013,USR-013,INC-012,2026-02-15 13:00:00,RES-00021,Disputed,No,1,"Radiator is hissing loud and leaking water.",Steam leak,Yes,True,True
FBK-00023,CMP-00013,USR-013,INC-012,2026-02-15 18:00:00,RES-00022,Verified,Yes,4,"Radiator quiet and dry now.",None,No,False,False
FBK-00024,CMP-00014,USR-014,INC-013,2026-02-18 20:00:00,RES-00023,Not Verified,No,1,"Walkway still pitch dark tonight.",Lights off,Yes,True,True
FBK-00025,CMP-00014,USR-014,INC-013,2026-02-19 12:00:00,RES-00024,Verified,Yes,5,"Path lights turned on right at sunset.",None,No,False,False
FBK-00026,CMP-00015,USR-015,INC-014,2026-02-21 15:00:00,RES-00025,Verified,Yes,4,"West gate door closes and latches securely.",None,No,False,False
FBK-00027,CMP-00016,USR-016,INC-015,2026-02-24 11:30:00,RES-00026,Not Verified,No,2,"App timed out again during noon test.",Server response delay,Yes,True,True
FBK-00028,CMP-00016,USR-016,INC-015,2026-02-24 18:00:00,RES-00027,Verified,Yes,5,"Database queries fast now. Super responsive.",None,No,False,False
