recommendation_id,incident_id,problem,recommendation,reason,evidence,risk_level,priority,expected_impact,suggested_timeline,responsible_department,recommended_action_type,status,created_at,based_on_previous_incident,supporting_complaint_count
REC-00001,INC-001,Recurring network drops in Block A,Upgrade central edge switch hardware and fiber backhaul,8 complaints received and initial reboot attempts failed to resolve drops,High failure rate during morning peak traffic,High,High,Eliminate network drops for over 250 users,Within 48 hours,Network Ops,Infrastructure Upgrade,Approved,2026-01-16,True,8
REC-00002,INC-002,DNS caching failures,Deploy redundant primary DNS gateway with automated failover,Manual cache flushes caused extended service downtime,2 portal outages in 30 days,Medium,High,Ensure 99.99% uptime for campus web portal,Within 7 days,IT Infrastructure,Infrastructure Upgrade,In Progress,2026-01-19,True,5
REC-00003,INC-003,Repeated basement drain backups,Schedule semi-annual hydro-jetting and camera inspections for main sewer lines,Chemical treatments failed due to structural pipe buildup,3 recurring flood tickets in same basement line,High,High,Prevent catastrophic building flooding,Within 14 days,Plumbing Dept,Maintenance,Completed,2026-01-21,True,7
REC-00004,INC-004,Compressor capacitor failures in summer,Replace aging capacitors across all North Hall HVAC units,Capacitor failure caused 82F indoor heat,4 similar HVAC capacitor failures reported last season,Medium,Medium,Avoid sudden cooling failures during summer,Within 30 days,HVAC Support,Replacement,Suggested,2026-01-23,False,4
REC-00005,INC-005,Wi-Fi overload in high-density student areas,Install high-density Wi-Fi access points in all hostel corridors,Soft reboots failed; bandwidth demand exceeds single AP threshold,12 complaints logged between 8 PM and 11 PM,High,High,Provide uninterrupted streaming and study access,Within 7 days,Network Ops,Infrastructure Upgrade,Approved,2026-01-27,True,12
REC-00006,INC-006,Dumpster overflow and littering,Double dumpster capacity and adjust pickup frequency to twice daily,Reassigning janitors failed to manage heavy trash volume,10 complaints logged regarding outdoor waste,Medium,Medium,Maintain public hygiene and prevent pest activity,Within 5 days,Waste Mgmt,Schedule Change,Completed,2026-01-30,True,10
REC-00007,INC-007,Elevator door sensor failures,Upgrade elevator optical sensors to dust-resistant industrial models,Sensitivity adjustments failed; door stuck twice on Floor 3,6 safety incident reports filed,High,High,Ensure passenger safety and elevator availability,Within 10 days,Facilities & Vendor,Replacement,In Progress,2026-02-02,True,6
REC-00008,INC-008,Roof leaks damaging ceiling tiles,Apply elastomeric waterproof membrane across entire roof junction,Patch sealants failed overnight during heavy rain,5 complaints regarding wet ceiling tiles,High,High,Protect laboratory equipment from water damage,Within 14 days,Building Maintenance,Repair,Approved,2026-02-06,True,5
REC-00009,INC-009,RFID gate access failures,Implement automated nightly database index rebuilding,Database index corruption caused gate queues during peak morning entry,9 turnstile lockout reports,Medium,Medium,Prevent access delay bottlenecks during morning entry,Within 3 days,IT Security,Configuration Change,Completed,2026-02-09,False,9
REC-00010,INC-010,Upper floor water pressure drop,Replace secondary booster pump impellers and install pressure transducers,Manual valve adjustments failed to sustain upper floor pressure,11 complaints across floors 3 and 4,High,High,Guarantee continuous water supply to all floors,Within 7 days,Plumbing Dept,Replacement,In Progress,2026-02-11,True,11
REC-00011,INC-011,Expired authentication certificates,Automate SSL certificate expiration tracking with 30-day alerts,Expired cert blocked login for all users for 2 hours,15 user authentication tickets logged simultaneously,High,High,Prevent campus-wide service lockouts,Within 24 hours,IT Security,Configuration Change,Completed,2026-02-13,False,15
REC-00012,INC-012,Radiator valve steam leaks,Conduct pre-winter preventive maintenance on all steam radiator valves,Tightening worn fitting failed to stop steam leak,4 steam leak complaints in admin building,Medium,Medium,Reduce heating energy loss and prevent scalding hazards,Within 30 days,HVAC Support,Maintenance,Suggested,2026-02-16,True,4
REC-00013,INC-013,Pathway lighting outages,Replace mechanical lighting timers with smart photocell controllers,Manual timer adjustments failed to account for seasonal lighting shifts,7 safety complaints regarding dark walkways,High,High,Improve nighttime pedestrian safety across campus,Within 10 days,Electrical Dept,Infrastructure Upgrade,Under Review,2026-02-20,True,7
REC-00014,INC-014,Emergency exit door latch failure,Implement monthly mechanical inspection of fire exit door hardware,Latch failure compromised building perimeter security,3 door hardware reports filed,Medium,Medium,Maintain compliance with safety and security standards,Within 14 days,Campus Security,Inspection,Approved,2026-02-22,False,3
REC-00015,INC-015,Database latency spikes during peak hours,Implement auto-scaling database connection pooling and query caching,Temporary connection pool patch failed during midday traffic spike,14 application slowdown reports,High,High,Ensure consistent sub-second application response times,Within 5 days,DBA & Software,Configuration Change,In Progress,2026-02-25,True,14
REC-00016,INC-016,Mold accumulation in HVAC air ducts,Install UV air purification units and replace organic duct lining,Surface vent cleaning failed; odor returned within 24 hours,8 air quality complaints in South Hall,High,High,Ensure healthy indoor air quality and eliminate odors,Within 10 days,HVAC Support,Infrastructure Upgrade,Approved,2026-03-01,True,8
REC-00017,INC-017,Cafeteria freezer temperature fluctuations,Install IoT continuous temperature telemetry monitors with SMS alerts,Sensor recalibration failed; coolant valve replacement was required,6 food spoilage risk reports,High,High,Prevent expensive food spoilage and health code violations,Within 48 hours,Facilities & IT,Infrastructure Upgrade,Completed,2026-03-03,True,6
REC-00018,INC-018,Kiosk keyboard responsiveness,Replace physical keyboards with sealed IP65 silicone touch keyboards,Physical keyboards collect dirt and jam keys,4 terminal malfunction reports,Low,Low,Reduce terminal hardware maintenance tickets,Within 30 days,IT Helpdesk,Replacement,Under Review,2026-03-06,False,4
REC-00019,INC-019,Parking lot flooding during storms,Enlarge drainage culvert diameter and re-grade lot runoff channels,Temporary grate cleaning failed during heavy rain event,9 vehicle access complaints,High,High,Prevent parking lot submergence and asphalt erosion,Within 21 days,Civil Engineering,Infrastructure Upgrade,Approved,2026-03-11,True,9
REC-00020,INC-020,Late night noise disturbances,Standardize fixed security patrols between 10 PM and 2 AM in residential zones,Guard reallocation resolved incident successfully,5 noise complaints logged,Medium,Medium,Maintain peaceful living conditions for residential students,Within 3 days,Campus Security,Staff Reallocation,Completed,2026-03-13,False,5
REC-00021,INC-021,Hallway lighting burnout,Migrate all corridor fixtures to long-life commercial LED drivers,Standard bulb replacement had short operational life,3 corridor dark spot tickets,Low,Low,Reduce lighting maintenance labor costs,Within 60 days,Electrical Dept,Replacement,Suggested,2026-03-16,False,3
REC-00022,INC-022,Packet loss on lab workstation network,Replace legacy Cat5 backhaul cables with shielded Cat6a cabling,Router rebooting failed; backhaul cable damage was root cause,8 lab connectivity complaints,High,High,Provide full 1Gbps network speed to engineering labs,Within 7 days,Network Ops,Infrastructure Upgrade,In Progress,2026-03-19,True,8
REC-00023,INC-023,HVAC fan screeching noise,Establish quarterly lubrication and belt tension inspection schedule,Greasing bearings failed; full belt and motor swap was required,6 noise disturbance reports,Medium,Medium,Prevent catastrophic fan motor failure and noise pollution,Within 14 days,HVAC Maintenance,Maintenance,Approved,2026-03-22,True,6
REC-00024,INC-024,Research lab door lockout,Implement automated firmware update cycle for electronic access controllers,Manual reader reprogram resolved lock failure,4 card access tickets,Medium,Medium,Prevent unauthorized lockouts from high-security areas,Within 14 days,Security Systems,Configuration Change,Completed,2026-03-25,False,4
REC-00025,INC-025,Cafeteria drain clogging,Enforce monthly commercial grease trap snaking and enzymatic treatment,Pouring chemical openers failed to dissolve solid grease blockage,7 kitchen overflow reports,High,High,Prevent kitchen health hazards and drain shutdowns,Within 7 days,Plumbing Dept,Maintenance,Approved,2026-03-28,True,7
REC-00026,INC-026,Central printer spooler crashes,Replace legacy printer NICs with dual-band gigabit network cards,Reinstalling workstation drivers failed to stop spooler crashes,5 printing delay tickets,Medium,Medium,Ensure continuous print service availability,Within 10 days,IT Services,Replacement,In Progress,2026-03-31,True,5
REC-00027,INC-027,Slamming entrance doors,Upgrade heavy entrance door closers to heavy-duty hydraulic models,Screw tension adjustments failed due to blown seals,4 safety hazard reports,Medium,Medium,Prevent physical injury and door frame damage,Within 7 days,Building Maintenance,Replacement,Completed,2026-04-03,True,4
REC-00028,INC-028,Excessive humidity in office spaces,Install commercial high-capacity dehumidifiers with automated drain lines,Increasing AC fan speed failed to lower indoor humidity,6 comfort complaints filed,Medium,Medium,Prevent mold proliferation and office discomfort,Within 14 days,HVAC Support,Infrastructure Upgrade,Approved,2026-04-07,True,6
REC-00029,INC-029,Lab bench circuit tripping,Install dedicated 20A circuit breakers for high-draw physics equipment,Power strip replacement was insufficient for total load,3 bench power outage complaints,High,High,Protect laboratory experiments from sudden power loss,Within 10 days,Electrical Dept,Infrastructure Upgrade,Under Review,2026-04-09,False,3
