insight_id,incident_id,insight_type,description,evidence,confidence,severity,detected_at,recommended_action,status
INS-00001,INC-001,Time Pattern,"Wi-Fi connection drops in Block A spike consistently between 8:00 PM and 11:00 PM",8 of 10 related complaints logged during late evening peak,0.92,High,"Upgrade edge access point hardware to handle high concurrency",Active
INS-00002,INC-002,Complaint Cluster,"Concentrated cluster of portal authentication timeouts reported from Science Complex subnet",12 complaints originated from single subnet block within 15 minutes,0.89,Medium,"Flush regional DNS cache and check local router DNS forwarding rules",Active
INS-00003,INC-003,Recurring Pattern,"Basement drainage backup recurs after severe rain events exceeding 20mm/hr",3 historical incidents logged following heavy downpours,0.94,High,"Perform structural camera inspection of main drainage sewer line",Active
INS-00004,INC-004,Emerging Problem,"Ambient temperature in North Hall rising by 1.5 degrees per hour",Continuous complaint volume growth over 4 hour period,0.88,High,"Inspect primary HVAC compressor capacitor and coolant pressure",Active
INS-00005,INC-005,Escalation Risk,"High density Wi-Fi saturation causing packet loss exceeding 40% across Block A Hostel",15 complaints filed within a 2-hour window,0.95,High,"Deploy dual high-density AP nodes in hostel corridors",Active
INS-00006,INC-006,Location Pattern,"Dumpster overflow complaints exclusively localized to West Quad perimeter",10 of 10 complaints originate within 50 meters of West Quad bin array,0.91,Medium,"Increase dumpster capacity and double daily waste pickup schedule",Active
INS-00007,INC-007,Potential Root Cause,"Elevator door stalling linked to optical dust accumulation during ground floor renovations",4 complaints coincided with nearby drywall construction work,0.87,High,"Replace optical sensor assembly and seal elevator mechanism",Active
INS-00008,INC-008,Recurring Pattern,"Roof leak above Lab 2 reappears at exact same seam during rainstorms",2 previous temporary silicone patches failed within 30 days,0.93,High,"Install elastomeric waterproof roof membrane across entire junction",Active
INS-00009,INC-009,Time Pattern,"RFID turnstile scanning delays concentrate between 8:30 AM and 9:00 AM",9 complaints logged during morning entry shift,0.86,Medium,"Re-index RFID card access database nightly to eliminate query latency",Active
INS-00010,INC-010,Location Pattern,"Low water pressure complaints isolated strictly to Floors 3 and 4",11 complaints logged on top two floors while Floor 1 reports normal pressure,0.92,High,"Replace secondary booster pump impellers to maintain pressure head",Active
INS-00011,INC-011,Escalation Risk,"SSO login errors affecting 100% of user authentication attempts campus-wide",15 complaints received in 10 minutes following cert expiration,0.99,Critical,"Update SSO server SSL authentication certificates immediately",Active
INS-00012,INC-012,Emerging Problem,"Radiator steam leak rate accelerating in Admin Building hallway",4 complaints logged with increasing intensity over 6 hours,0.89,Medium,"Replace radiator control valve and bleeder plug",Active
INS-00013,INC-013,Time Pattern,"South Campus pathway lighting failing to turn on at sunset",7 complaints logged between 6:00 PM and 7:00 PM over 3 consecutive days,0.90,High,"Replace faulty photocell relay control box",Active
INS-00014,INC-014,Potential Root Cause,"West Gate exit door failing to latch due to mechanical fatigue from high traffic",3 security incident tickets logged in same week,0.85,Medium,"Replace exit door latch spring assembly",Active
INS-00015,INC-015,Cross-Department Pattern,"Database latency spikes correlate with scheduled automated financial report generation",14 complaints logged during midday query batch,0.94,High,"Scale database connection pool max limits and optimize query execution",Active
INS-00016,INC-016,Emerging Problem,"Musty air quality complaints growing in South Hall classroom wing",8 complaints logged across 3 contiguous classrooms,0.91,High,"Replace duct liner and install UV air purification system",Active
INS-00017,INC-017,Escalation Risk,"Cafeteria freezer internal temperature rising above safety code threshold of 0F",6 urgent food safety reports filed in 2 hours,0.96,Critical,"Replace coolant line valve and recharge refrigerant gas",Active
INS-00018,INC-018,Location Pattern,"Kiosk Terminal 3 keyboard responsiveness failure isolated to Student Center hub",4 complaints filed specifically for key matrix jam on Terminal 3,0.88,Low,"Clean internal contact points and replace membrane matrix",Resolved
INS-00019,INC-019,Recurring Pattern,"Parking Lot B storm drain flooding occurs during rainfall exceeding 15mm/hr",9 vehicle access complaints logged over last 2 storms,0.93,High,"Excavate debris and install enlarged drainage culvert",Active
INS-00020,INC-020,Time Pattern,"Noise disturbance complaints in North Dorms peak between 11:00 PM and 2:00 AM on weekends",5 complaints logged across Friday and Saturday nights,0.86,Medium,"Reallocate campus security night patrols to fixed dorm routes",Resolved
INS-00021,INC-021,Complaint Cluster,"Main corridor overhead light fixture flicker reported by multiple passersby",3 complaints logged within 2 hours,0.87,Low,"Replace burned out light fixture driver",Resolved
INS-00022,INC-022,Potential Root Cause,"Engineering Lab network packet loss caused by physical kink in Cat5 backhaul cable",8 complaints logged from adjacent workstations on same bench,0.92,High,"Replace damaged Ethernet backhaul cabling with Cat6a line",Active
INS-00023,INC-023,Emerging Problem,"High-pitched squeal in Library HVAC system increasing in volume",6 noise complaints logged over 2 days,0.89,Medium,"Replace worn HVAC fan belt and motor bearing",Active
INS-00024,INC-024,Cross-Department Pattern,"Research Lab card reader rejecting access for newly onboarded staff",4 complaints filed by newly hired lab researchers,0.87,Medium,"Update electronic access door controller firmware",Resolved
INS-00025,INC-025,Recurring Pattern,"Cafeteria sink drainage slowdown occurs every 30 days due to grease accumulation",7 kitchen overflow complaints logged over past quarter,0.91,High,"Snake grease trap line and clear solid obstruction",Active
INS-00026,INC-026,Escalation Risk,"Admin Office central printer spooler crashing upon receiving large print batches",5 print queue delay tickets logged simultaneously,0.88,Medium,"Replace network interface card inside central printer unit",Active
INS-00027,INC-027,Location Pattern,"Library Entrance main door slamming with force exceeding 30 ft-lbs",4 safety hazard complaints filed by library visitors,0.90,Medium,"Replace hydraulic cylinder in heavy-duty door closer assembly",Resolved
INS-00028,INC-028,Time Pattern,"East Wing office suite indoor humidity exceeding 80% during afternoon heat",6 indoor comfort complaints logged between 1 PM and 5 PM,0.92,Medium,"Service commercial dehumidifier and flush condensate line",Active
INS-00029,INC-029,Potential Root Cause,"Physics Lab bench circuit breaker tripping due to concurrent high-draw equipment use",3 bench power outage complaints logged during lab sessions,0.86,High,"Reset sub-panel breaker and upgrade bench wiring circuit",Active
INS-00030,INC-030,Escalation Risk,"Guest Wi-Fi captive portal redirect loop blocking all non-registered users",11 complaints logged within 1 hour of event start,0.95,High,"Rebuild guest portal SSL certificates and radius service",Active
INS-00031,INC-031,Emerging Problem,"Slow water puddle accumulation underneath Student Center drinking fountain",5 slip hazard complaints logged over 2 days,0.88,Medium,"Replace corroded copper elbow joint and seal ring",Active
