complaint_id,user_id,complaint_text,created_at,category,subcategory,location,department,severity,impact,status,incident_id,source,has_evidence,user_verified
CMP-00218,USR-024,The furniture in Computer Lab 1 is broken and needs repair.,2026-01-01 14:12,Hostel,Laundry,Computer Lab 1,Hostel Administration,Medium,Small Group,Closed,,Web,False,True
CMP-00636,USR-207,There is a power outage affecting Transport Bay.,2026-01-01 18:14,Electricity,Lighting,Transport Bay,Electrical Maintenance,High,Multiple Users,Resolved,,Web,False,False
CMP-00169,USR-071,There is a power outage affecting Sports Ground.,2026-01-01 20:01,Electricity,Fan,Sports Ground,Electrical Maintenance,High,Large Group,Closed,INC-023,Mobile,True,True
CMP-00756,USR-029,Water is leaking near Parking Area and the floor remains wet.,2026-01-01 21:59,Water & Sanitation,Water Supply,Parking Area,Facilities & Maintenance,Medium,Multiple Users,Investigating,INC-031,Mobile,True,False
CMP-00637,USR-250,Several systems in Sports Ground cannot access the internet.,2026-01-02 13:00,Internet & Network,Wi-Fi,Sports Ground,IT Services,High,Multiple Users,Investigating,INC-024,Web,False,False
CMP-00948,USR-032,Water is leaking near Block C - Hostel and the floor remains wet.,2026-01-02 13:59,Water & Sanitation,Water Supply,Block C - Hostel,Facilities & Maintenance,Medium,Large Group,Resolved,,Web,True,False
CMP-00454,USR-146,The door lock in Seminar Hall is damaged.,2026-01-02 17:31,Hostel,Room Maintenance,Seminar Hall,Hostel Administration,High,Large Group,Open,,Web,False,False
CMP-00885,USR-242,The network keeps disconnecting in Transport Bay.,2026-01-02 17:37,Internet & Network,Network Availability,Transport Bay,IT Services,High,Large Group,Resolved,,Web,False,False
CMP-00321,USR-202,The Wi-Fi connection in Computer Lab 2 becomes very slow during 6 PM–10 PM.,2026-01-02 18:46,Internet & Network,Network Availability,Computer Lab 2,IT Services,Medium,Individual,Assigned,,Web,True,False
CMP-00222,USR-236,The queue at Seminar Hall is unusually long during lunch.,2026-01-03 17:41,Canteen,Queue,Seminar Hall,Food Services,Low,Multiple Users,Closed,,Web,True,True
CMP-00619,USR-138,"Water pressure has been very low in Transport Bay, especially during evening.",2026-01-03 18:11,Water & Sanitation,Water Supply,Transport Bay,Facilities & Maintenance,High,Multiple Users,Closed,,Web,True,True
CMP-00772,USR-018,The Wi-Fi connection in Parking Area becomes very slow during afternoon.,2026-01-04 10:49,Internet & Network,Internet Speed,Parking Area,IT Services,Medium,Large Group,Open,INC-019,Web,False,False
CMP-00668,USR-017,Waste bins near Block C - Hostel are overflowing.,2026-01-04 14:41,Cleaning,Washroom Cleaning,Block C - Hostel,Housekeeping,Medium,Large Group,Investigating,,Web,False,False
CMP-00807,USR-103,Waste bins near Canteen are overflowing.,2026-01-05 09:30,Cleaning,Waste Disposal,Canteen,Housekeeping,Medium,Multiple Users,Investigating,,Web,False,False
CMP-00747,USR-149,Several systems in CSE Block cannot access the internet.,2026-01-05 16:42,Internet & Network,Internet Speed,CSE Block,IT Services,High,Multiple Users,Closed,INC-018,Web,False,False
CMP-00732,USR-250,The Wi-Fi connection in Parking Area becomes very slow during afternoon.,2026-01-06 10:09,Internet & Network,LAN,Parking Area,IT Services,Medium,Small Group,Open,,Mobile,True,False
CMP-00501,USR-075,The queue at Canteen is unusually long during lunch.,2026-01-06 12:26,Canteen,Food Quality,Canteen,Food Services,Low,Multiple Users,Resolved,,Mobile,True,True
CMP-00864,USR-212,The furniture in Block B - Hostel is broken and needs repair.,2026-01-06 15:53,Hostel,Laundry,Block B - Hostel,Hostel Administration,Medium,Multiple Users,Resolved,,Web,True,False
CMP-00580,USR-049,The fan is not working in Sports Ground.,2026-01-07 11:30,Electricity,Socket,Sports Ground,Electrical Maintenance,Medium,Large Group,Closed,,Web,False,False
CMP-00047,USR-027,The Wi-Fi connection in Seminar Hall becomes very slow during evening.,2026-01-07 12:36,Internet & Network,Internet Speed,Seminar Hall,IT Services,Medium,Small Group,Open,,Web,True,False
CMP-00248,USR-092,The lights in Block C - Hostel are flickering repeatedly.,2026-01-07 13:38,Electricity,Socket,Block C - Hostel,Electrical Maintenance,Medium,Multiple Users,Open,,Mobile,False,False
CMP-00998,USR-052,Several systems in Block B - Hostel cannot access the internet.,2026-01-07 16:38,Internet & Network,Internet Speed,Block B - Hostel,IT Services,High,Multiple Users,Assigned,INC-015,Web,False,False
CMP-00850,USR-199,Water is leaking near Seminar Hall and the floor remains wet.,2026-01-07 18:42,Water & Sanitation,Leakage,Seminar Hall,Facilities & Maintenance,Medium,Individual,Closed,,Web,True,False
CMP-00273,USR-089,The Wi-Fi connection in Canteen becomes very slow during evening.,2026-01-08 11:23,Internet & Network,Network Availability,Canteen,IT Services,Medium,Small Group,Reopened,,Mobile,False,True
CMP-00440,USR-092,There has been no water supply in Block C - Hostel since since yesterday.,2026-01-08 15:57,Water & Sanitation,Washroom,Block C - Hostel,Facilities & Maintenance,High,Multiple Users,Open,INC-029,Web,False,False
CMP-00067,USR-024,The campus bus has not arrived at Block B - Hostel on time.,2026-01-08 18:38,Transport,Driver,Block B - Hostel,Transport Services,Medium,Multiple Users,Resolved,,Mobile,True,False
CMP-00976,USR-217,The projector in Canteen is not displaying properly.,2026-01-09 14:40,Classroom Equipment,Speaker,Canteen,Academic Infrastructure,Medium,Individual,Investigating,,Mobile,True,False
CMP-00662,USR-018,The fan is not working in Central Library.,2026-01-10 08:16,Electricity,AC,Central Library,Electrical Maintenance,Medium,Multiple Users,Resolved,,Web,False,False
CMP-00072,USR-105,The network keeps disconnecting in Computer Lab 1.,2026-01-10 10:32,Internet & Network,Internet Speed,Computer Lab 1,IT Services,High,Multiple Users,Resolved,,Mobile,True,False
CMP-00301,USR-053,The computer systems in Central Library are extremely slow.,2026-01-10 16:35,Classroom Equipment,Speaker,Central Library,Academic Infrastructure,Medium,Multiple Users,Closed,,Web,False,False
CMP-00279,USR-233,The computer systems in Campus Entrance are extremely slow.,2026-01-10 17:45,Classroom Equipment,Computer,Campus Entrance,Academic Infrastructure,Medium,Small Group,Closed,,Web,False,True
CMP-00431,USR-119,The campus bus has not arrived at Parking Area on time.,2026-01-10 18:08,Transport,Bus Condition,Parking Area,Transport Services,Medium,Large Group,Closed,,Web,True,False
CMP-00048,USR-004,The pathway near Parking Area is damaged and difficult to use.,2026-01-11 13:34,Infrastructure,Building Damage,Parking Area,Facilities & Maintenance,Medium,Individual,Resolved,,Web,True,True
CMP-00147,USR-036,The queue at Block A - Hostel is unusually long during lunch.,2026-01-12 08:08,Canteen,Hygiene,Block A - Hostel,Food Services,Low,Large Group,Investigating,,Web,False,False
CMP-00337,USR-246,"Water pressure has been very low in Main Building, especially during morning.",2026-01-12 10:36,Water & Sanitation,Washroom,Main Building,Facilities & Maintenance,High,Multiple Users,Open,INC-012,Web,True,False
CMP-00928,USR-088,Several systems in Computer Lab 1 cannot access the internet.,2026-01-12 12:38,Internet & Network,Wi-Fi,Computer Lab 1,IT Services,High,Multiple Users,Assigned,,Web,True,False
CMP-00989,USR-151,The pathway near Computer Lab 1 is damaged and difficult to use.,2026-01-12 20:42,Infrastructure,Lift,Computer Lab 1,Facilities & Maintenance,Medium,Small Group,Assigned,,Web,True,False
CMP-00245,USR-233,There has been no water supply in Computer Lab 1 since since this morning.,2026-01-13 10:59,Water & Sanitation,Water Pressure,Computer Lab 1,Facilities & Maintenance,High,Multiple Users,Assigned,INC-023,Mobile,False,False
CMP-00808,USR-008,The campus bus has not arrived at Seminar Hall on time.,2026-01-13 14:19,Transport,Bus Delay,Seminar Hall,Transport Services,Medium,Individual,Closed,,Mobile,True,True
CMP-00886,USR-245,The campus bus has not arrived at ECE Block on time.,2026-01-13 17:33,Transport,Bus Availability,ECE Block,Transport Services,Medium,Multiple Users,Assigned,,Mobile,True,False
CMP-00818,USR-017,The Wi-Fi connection in Canteen becomes very slow during 6 PM–10 PM.,2026-01-13 18:15,Internet & Network,Internet Speed,Canteen,IT Services,Medium,Individual,Open,INC-018,Mobile,True,False
CMP-00665,USR-108,The CCTV camera near Block A - Hostel appears to be offline.,2026-01-13 20:24,Safety,Security,Block A - Hostel,Security Services,High,Multiple Users,Investigating,,Web,True,False
CMP-00320,USR-111,Water is leaking near Block B - Hostel and the floor remains wet.,2026-01-14 10:50,Water & Sanitation,Drainage,Block B - Hostel,Facilities & Maintenance,Medium,Small Group,Closed,INC-029,Web,True,False
CMP-00794,USR-028,The lights in Canteen are flickering repeatedly.,2026-01-14 12:05,Electricity,Power Outage,Canteen,Electrical Maintenance,Medium,Individual,Open,,Mobile,False,False
CMP-00418,USR-047,The CCTV camera near Transport Bay appears to be offline.,2026-01-14 19:33,Safety,Security,Transport Bay,Security Services,High,Multiple Users,Closed,,Mobile,False,False
CMP-00860,USR-075,There has been no water supply in Block B - Hostel since for three days.,2026-01-15 10:28,Water & Sanitation,Water Pressure,Block B - Hostel,Facilities & Maintenance,High,Large Group,Assigned,,Mobile,True,False
CMP-00251,USR-088,There has been no water supply in Block B - Hostel since since yesterday.,2026-01-15 11:38,Water & Sanitation,Water Pressure,Block B - Hostel,Facilities & Maintenance,High,Multiple Users,Assigned,,Mobile,False,False
CMP-00854,USR-087,The computer systems in Seminar Hall are extremely slow.,2026-01-15 16:44,Classroom Equipment,Projector,Seminar Hall,Academic Infrastructure,Medium,Multiple Users,Resolved,,Web,False,True
CMP-00535,USR-196,The washroom in ECE Block has not been cleaned properly.,2026-01-16 08:37,Cleaning,Room Cleaning,ECE Block,Housekeeping,Medium,Multiple Users,Assigned,,Web,True,False
CMP-00813,USR-195,Water is leaking near Computer Lab 1 and the floor remains wet.,2026-01-16 11:00,Water & Sanitation,Washroom,Computer Lab 1,Facilities & Maintenance,Medium,Large Group,Investigating,INC-014,Mobile,False,False
CMP-00613,USR-069,The Wi-Fi connection in CSE Block becomes very slow during evening.,2026-01-16 13:29,Internet & Network,Wi-Fi,CSE Block,IT Services,Medium,Large Group,Open,,Mobile,True,False
CMP-00616,USR-042,Several systems in Block A - Hostel cannot access the internet.,2026-01-16 15:17,Internet & Network,Wi-Fi,Block A - Hostel,IT Services,High,Multiple Users,Resolved,,Mobile,True,False
CMP-00014,USR-221,There is a power outage affecting Main Building.,2026-01-17 13:01,Electricity,Power Outage,Main Building,Electrical Maintenance,High,Multiple Users,Closed,INC-005,Web,True,True
CMP-00804,USR-147,There is a power outage affecting Computer Lab 2.,2026-01-17 14:18,Electricity,Power Outage,Computer Lab 2,Electrical Maintenance,High,Large Group,Closed,,Web,True,False
CMP-00443,USR-197,The campus bus has not arrived at Block A - Hostel on time.,2026-01-17 15:07,Transport,Bus Condition,Block A - Hostel,Transport Services,Medium,Large Group,Closed,,Web,False,True
CMP-00216,USR-069,The projector in Sports Ground is not displaying properly.,2026-01-17 20:34,Classroom Equipment,Computer,Sports Ground,Academic Infrastructure,Medium,Large Group,Closed,,Web,False,False
CMP-00130,USR-096,There has been no water supply in Block C - Hostel since for three days.,2026-01-18 11:49,Water & Sanitation,Leakage,Block C - Hostel,Facilities & Maintenance,High,Multiple Users,Resolved,,Web,True,True
CMP-00020,USR-153,Water is leaking near Seminar Hall and the floor remains wet.,2026-01-18 18:55,Water & Sanitation,Washroom,Seminar Hall,Facilities & Maintenance,Medium,Individual,Reopened,,Web,True,False
CMP-00226,USR-243,The campus bus has not arrived at Parking Area on time.,2026-01-19 08:37,Transport,Bus Delay,Parking Area,Transport Services,Medium,Multiple Users,Investigating,,Web,False,False
CMP-00773,USR-167,The projector in Block B - Hostel is not displaying properly.,2026-01-19 10:45,Classroom Equipment,Computer,Block B - Hostel,Academic Infrastructure,Medium,Large Group,Reopened,,Mobile,True,False
CMP-00077,USR-051,Food served at Block C - Hostel was cold today.,2026-01-19 15:22,Canteen,Seating,Block C - Hostel,Food Services,Medium,Multiple Users,Resolved,,Web,True,True
CMP-00057,USR-022,The computer systems in Computer Lab 1 are extremely slow.,2026-01-19 17:40,Classroom Equipment,Microphone,Computer Lab 1,Academic Infrastructure,Medium,Small Group,Closed,,Mobile,True,False
CMP-00220,USR-178,The fan is not working in Computer Lab 1.,2026-01-20 10:37,Electricity,AC,Computer Lab 1,Electrical Maintenance,Medium,Individual,Open,INC-008,Mobile,True,False
