resolution_id,incident_id,attempt_number,action_taken,performed_by,performed_at,action_type,outcome,success,resolution_time_hours,verification_status,user_feedback_summary,follow_up_required,incident_final_status
RES-00001,INC-001,1,Rebooted edge router and refreshed IP leases,Tech Support Team A,2026-01-15 09:30:00,Maintenance,Failed,False,2.5,Not Verified,User reported speed still throttled after 10 mins,True,In Progress
RES-00002,INC-001,2,Replaced faulty edge router hardware and updated firmware,Network Ops,2026-01-15 14:00:00,Replacement,Successful,True,4.0,Verified,Full connectivity restored across block,False,Resolved
RES-00003,INC-002,1,Flushed local DNS cache on regional server,IT Ops,2026-01-18 10:15:00,Configuration Change,Failed,False,1.5,Not Verified,Domain resolution issues persisted,True,In Progress
RES-00004,INC-002,2,Replaced corrupt DNS gateway route and synchronized backup node,Network Ops,2026-01-18 13:45:00,Infrastructure Upgrade,Successful,True,3.5,Verified,Portal loaded instantly,False,Resolved
RES-00005,INC-003,1,Cleared blockage in primary drainage line,Facilities Team B,2026-01-20 08:00:00,Cleaning,Failed,False,3.0,Disputed,Water backup returned within 2 hours,True,In Progress
RES-00006,INC-003,2,Replaced collapsed section of PVC main line,Plumbing Dept,2026-01-20 16:30:00,Repair,Successful,True,8.5,Verified,Drainage operating normally,False,Resolved
RES-00007,INC-004,1,Reset HVAC thermostat schedule,Building Maintenance,2026-01-22 11:00:00,Schedule Change,Failed,False,1.0,Not Verified,Temperature remained stuck at 82F,True,In Progress
RES-00008,INC-004,2,Replaced blown compressor capacitor,HVAC Support,2026-01-22 15:20:00,Repair,Successful,True,4.2,Verified,Cooling operational,False,Resolved
RES-00009,INC-005,1,Soft restart of Block A Wi-Fi access points,Network Ops,2026-01-25 19:10:00,Maintenance,Failed,False,0.8,Not Verified,Signal dropped immediately during high demand,True,In Progress
RES-00010,INC-005,2,Deployed dual high-density AP nodes in Block A corridor,Network Ops,2026-01-26 10:00:00,Infrastructure Upgrade,Successful,True,5.0,Verified,Bandwidth stabilized during peak hours,False,Resolved
RES-00011,INC-006,1,Reassigned evening janitorial shift,Operations,2026-01-28 08:30:00,Staff Reallocation,Partially Successful,False,2.0,Not Verified,Trash overflow reduced but bin capacity inadequate,True,In Progress
RES-00012,INC-006,2,Installed 4 commercial dumpsters and doubled pickup cycle,Waste Mgmt,2026-01-29 09:00:00,Infrastructure Upgrade,Successful,True,3.0,Verified,Area clean and cleared,False,Resolved
RES-00013,INC-007,1,Adjusted elevator sensor sensitivity,Vendor Tech,2026-02-01 12:00:00,Configuration Change,Failed,False,2.0,Disputed,Elevator door stalled again on Floor 3,True,In Progress
RES-00014,INC-007,2,Replaced door optical sensor assembly,Vendor Tech,2026-02-01 17:00:00,Replacement,Successful,True,5.0,Verified,Elevator functioning smoothly,False,Resolved
RES-00015,INC-008,1,Applied temporary sealant to roof leak above Lab 2,Facilities,2026-02-03 14:00:00,Temporary Fix,Failed,False,2.0,Not Verified,Rain leak breached sealant overnight,True,In Progress
RES-00016,INC-008,2,Installed commercial elastomeric roof membrane,Contractor Team,2026-02-05 11:00:00,Repair,Successful,True,12.0,Verified,No water intrusion recorded,False,Resolved
RES-00017,INC-009,1,Reset security gate access database,Campus Safety,2026-02-08 09:00:00,Configuration Change,Successful,True,1.5,Verified,RFID cards scanning properly,False,Resolved
RES-00018,INC-010,1,Rebalanced water pump pressure output,Facilities,2026-02-10 07:30:00,Configuration Change,Failed,False,2.0,Not Verified,Low water pressure on upper floors persisted,True,In Progress
RES-00019,INC-010,2,Replaced secondary booster pump impellers,Plumbing Dept,2026-02-10 15:00:00,Repair,Successful,True,7.5,Verified,Water pressure fully restored on Floor 4,False,Resolved
RES-00020,INC-011,1,Updated SSO authentication server certs,IT Security,2026-02-12 10:00:00,Configuration Change,Successful,True,2.0,Verified,Login errors resolved for all users,False,Resolved
RES-00021,INC-012,1,Tightened loose valve on radiator unit,Maintenance,2026-02-15 11:30:00,Repair,Failed,False,1.0,Disputed,Radiator leaking steam continuously,True,In Progress
RES-00022,INC-012,2,Replaced radiator control valve and bleeder plug,HVAC Support,2026-02-15 16:00:00,Replacement,Successful,True,4.5,Verified,Heating operating without leaks,False,Resolved
RES-00023,INC-013,1,Adjusted street lighting timer clock,Electrical,2026-02-18 18:00:00,Schedule Change,Failed,False,1.0,Not Verified,Lights failed to turn on at sunset,True,In Progress
